Image,Window,R,G,B
34.jpg,B_Ref,18.551875,18.431875,12.963750000000001
34.jpg,H_20,86.920625,154.61125,163.694375
34.jpg,H_40,73.44375000000001,156.54125,172.3075
34.jpg,H_60,50.474375,140.888125,163.755
34.jpg,H_80,29.660625,100.640625,119.515
35.jpg,W_Ref,160.753125,183.3975,157.77375
35.jpg,B_Ref,18.26125,17.986250000000002,13.450000000000001
35.jpg,H_20,86.51125,155.549375,162.62125
35.jpg,H_40,73.110625,156.26250000000002,172.02375
35.jpg,H_60,49.628125000000004,141.7975,162.78062500000001
35.jpg,H_80,30.838125,100.1975,119.91375000000001
36.jpg,W_Ref,160.328125,183.115,156.46625
36.jpg,B_Ref,18.595625000000002,18.10375,12.753125
36.jpg,H_20,86.86687500000001,154.856875,163.205
36.jpg,H_40,74.360625,156.46,172.46625
36.jpg,H_60,49.409375000000004,141.24625,163.761875
36.jpg,H_80,30.663125,99.97625000000001,119.69500000000001
37.jpg,W_Ref,160.363125,183.01,156.50125
37.jpg,B_Ref,18.21,18.148125,14.300625
37.jpg,H_20,86.52312500000001,154.766875,162.640625
37.jpg,H_40,73.18125,156.543125,171.569375
37.jpg,H_60,50.61625,141.685,163.4225
37.jpg,H_80,30.045,99.755,119.70375
38.jpg,W_Ref,160.195,183.18375,156.84
38.jpg,B_Ref,18.030625,18.521875,13.450000000000001
38.jpg,H_20,85.868125,155.800625,162.390625
38.jpg,H_40,74.466875,156.2725,173.07375
38.jpg,H_60,49.816875,140.975,164.07375
38.jpg,H_80,31.056250000000002,100.39,120.22875
39.jpg,W_Ref,160.46812500000001,183.523125,157.15437500000002
39.jpg,B_Ref,18.980625,17.613125,14.195
39.jpg,H_20,88.359375,154.010625,163.01125
39.jpg,H_40,74.31625,156.11,172.38750000000002
39.jpg,H_60,48.75,141.79875,162.539375
39.jpg,H_80,29.3325,99.98,119.49000000000001
40.jpg,W_Ref,160.24,183.12375,157.22625
40.jpg,B_Ref,17.94125,18.48125,13.746875000000001
40.jpg,H_20,86.98125,155.114375,162.49812500000002
40.jpg,H_40,73.221875,156.9025,172.201875
40.jpg,H_60,50.324375,141.16375,164.535
