Fecha,Sensor,R,G,B
20260320,4,132.4185352544974,104.89317077329696,107.52272145962998
20260320,5,138.7748023463402,107.85139845277565,112.85547904446145
20260320,6,179.68964677222897,164.83459196102314,159.28558668290702
20260322,W_Ref,190.52646502835537,189.49669187145557,188.77079395085067
20260322,B_Ref,53.25519848771267,58.70368620037807,69.09971644612476
20260322,1,134.2698357217756,104.65315157870208,110.82069206571128
20260322,2,143.26030047803323,112.85636239471887,120.33257455042113
20260322,3,136.33719658867264,105.8906625847365,116.57620817843866
20260322,W_Ref,189.26371742112482,188.26371742112482,184.48731138545952
20260322,B_Ref,47.13065843621399,51.08744855967078,60.05898491083676
20260322,4,132.99000166638893,103.9074320946509,108.06915514080987
20260322,5,135.11441368078175,103.28379478827362,110.54242671009773
20260322,6,177.62091554853984,162.8314127861089,158.73954222573005
20260323,W_Ref,186.19307270233196,182.37654320987653,180.59190672153636
20260323,B_Ref,31.235939643347052,36.01680384087791,42.22153635116598
20260323,1,123.88000677449403,90.71352358370734,92.19993225505971
20260323,2,136.68022335194598,101.52546045503792,103.9764147012251
20260323,3,134.0360546378653,97.14239199491742,102.02676302414231
20260323,W_Ref,185.98799725651577,183.01783264746228,180.8820301783265
20260323,B_Ref,33.78326474622771,37.28292181069959,45.96639231824417
20260323,4,127.60407279029464,94.023136915078,94.51282495667245
20260323,5,134.4842414082146,95.61466890192791,100.02187761944678
20260323,6,181.32874480736336,161.87920501751242,156.02606499959273
20260326,W_Ref,187.57716049382717,184.71090534979425,183.27331961591221
20260326,B_Ref,53.52606310013717,56.36694101508916,63.93518518518518
20260326,1,123.8997953266246,95.21362783557906,101.43655125362443
20260326,2,136.78836987607247,104.92651009619551,112.15711933443107
20260326,3,132.9855825649623,99.72967309304276,109.18650461022632
20260326,W_Ref,185.72305555555556,181.80333333333334,178.64277777777778
20260326,B_Ref,49.085277777777776,52.444722222222225,59.02111111111111
20260326,4,121.47247357878013,94.87283276922014,98.23713476549008
20260326,5,128.4596790713554,97.17958347558893,103.37159440081938
20260326,6,178.49254341164453,162.24385427306777,156.87204630575417
20260327,W_Ref,188.57988165680473,186.80991124260356,183.06656804733728
20260327,B_Ref,39.556582840236686,40.91974852071006,49.76923076923077
20260327,1,125.85570776255707,90.38712328767123,93.63716894977169
20260327,2,138.8810888252149,99.69126074498567,103.75026862464183
20260327,3,135.1513348070056,93.70693759564699,100.33327665363034
20260327,W_Ref,187.6064209274673,183.72413793103448,180.5552913198573
20260327,B_Ref,34.44262782401903,37.30796670630202,44.30856123662307
20260327,4,124.81475510517427,90.64018117610932,91.20912022109627
20260327,5,132.0843683398251,93.27191886528992,96.65223781876975
20260327,6,182.39571246639312,163.91566435545494,156.50608461865008
20260329,W_Ref,187.95576131687244,185.82475994513032,182.13683127572017
20260329,B_Ref,24.30384087791495,25.310699588477366,30.280521262002743
20260329,1,116.62453128905925,76.72193983834681,74.97166902758104
20260329,2,131.49963020790534,87.2381461089654,87.09417372010847
20260329,3,125.77643747486931,79.92963409730599,82.39034981905911
20260329,W_Ref,181.7203433922997,177.7713319458897,174.66935483870967
20260329,B_Ref,24.080645161290324,24.569979188345474,29.491675338189385
20260329,4,112.76391254001771,74.85144063755875,72.91029221442682
20260329,5,120.59364480947892,77.57950720344688,78.50114447286926
20260329,6,176.96380090497738,155.77901250998138,148.45747937183924
20260401,W_Ref,191.7456,188.1584,185.0208
20260401,B_Ref,40.1304,43.3008,52.3196
20260401,1,128.8538400476285,89.00724350069459,91.92964873982933
20260401,2,143.59053265575005,101.28693769998118,107.39742141916055
20260401,3,138.76634623711786,95.49389451805663,104.78323374036546
20260401,W_Ref,187.23076923076923,183.23076923076923,180.23076923076923
20260401,B_Ref,36.187130177514796,39.44193786982248,47.78957100591716
20260401,4,125.79744292237443,87.56429223744293,89.35178082191781
20260401,5,132.44198141359024,90.91525279222441,97.7264898968369
20260401,6,186.6986917088049,167.55100730395696,161.10731198330524
20260403,W_Ref,186.28635204081633,182.31696428571428,179.25573979591837
20260403,B_Ref,29.148915816326532,30.57780612244898,35.58577806122449
20260403,1,112.52664954246268,71.6247391234548,72.07352705089099
20260403,2,130.85369329427598,85.7106325706595,88.24376533924472
20260403,3,129.7022141888839,80.6195963247477,85.94178340111463
20260403,W_Ref,187.07990397805213,183.5576131687243,180.39300411522635
20260403,B_Ref,32.920438957475994,33.42318244170096,41.22839506172839
20260403,4,119.64699084363055,78.93581651702374,79.63899013245621
20260403,5,126.10554225111187,79.85271980841601,84.43491276086212
20260403,6,180.5829949650804,158.76652590547343,152.46264414487575
20260406,W_Ref,184.15725326991677,180.43014268727705,177.28626634958383
20260406,B_Ref,21.32907253269917,22.528240190249704,27.650416171224734
20260406,1,105.88600320093117,65.44922159173578,65.20624181580096
20260406,2,122.9513826008219,76.54691091453647,78.82454551786586
20260406,3,119.346018735363,68.69249284413219,73.52680197762164
20260406,W_Ref,180.22554630593132,176.25676378772113,173.1901664932362
20260406,B_Ref,19.704994797086368,20.999479708636837,26.03720083246618
20260406,4,104.32844594148338,64.92622680140016,64.39918103163595
20260406,5,114.45573562122658,68.41760406736574,70.39714013346044
20260406,6,175.85074717531285,153.3368363503827,145.51409306281133
20260409,W_Ref,191.4615912208505,188.07475994513032,184.8840877914952
20260409,B_Ref,54.09396433470508,58.39471879286694,67.92112482853224
20260409,1,119.87754020144902,83.5802261883725,94.04055486835131
20260409,2,133.22042010103695,94.13985642116458,105.48737038021802
20260409,3,129.8512811634349,88.45360110803324,103.60214681440443
20260409,W_Ref,190.30547337278105,188.6671597633136,186.18491124260356
20260409,B_Ref,55.06915680473373,58.945636094674555,70.0573224852071
20260409,4,123.09640938648573,87.76288756950335,96.7192536047498
20260409,5,127.84495259341885,87.31836772634318,100.78285926752184
20260409,6,180.1001777777778,160.73617777777778,159.50586666666666
20260411,W_Ref,190.70659722222223,188.07118055555554,186.61631944444446
20260411,B_Ref,52.03038194444444,55.006510416666664,64.21831597222223
20260411,1,121.83982960596379,79.90617678381257,90.12247071352502
20260411,2,133.81539272535582,89.53684765419082,100.60938323668951
20260411,3,127.84757778653012,83.7334580543521,97.19702638834187
20260411,W_Ref,191.55325255102042,187.92442602040816,184.7981505102041
20260411,B_Ref,46.275510204081634,50.411989795918366,58.94642857142857
20260411,4,123.76936359151456,82.67595790166091,89.52269363591515
20260411,5,128.08620824532582,83.1877493546116,93.52953140890246
20260411,6,183.30628954224042,162.82590249348715,158.35511723111276
20260414,W_Ref,199.8436,195.8832,192.87
20260414,B_Ref,47.1168,50.9808,63.3496
20260414,1,132.87026072504415,84.46026799626051,94.12516879609431
20260414,2,144.54148727984344,88.09070450097848,99.89579256360078
20260414,3,136.6145675265554,81.1299651878961,95.97955904668393
20260414,W_Ref,194.2037037037037,189.80109739369,186.34773662551441
20260414,B_Ref,40.943415637860085,43.69787379972565,55.14368998628258
20260414,4,124.42692710149983,76.29011161492849,84.03531566096966
20260414,5,130.60780010130003,75.81833530305589,86.80677021779505
20260414,6,188.3377425044092,163.65913099246433,158.0611672278339
20260415,W_Ref,191.9996301775148,190.7666420118343,187.10613905325442
20260415,B_Ref,52.12758875739645,56.01997041420118,66.97559171597634
20260415,1,120.71200840015274,76.18795341733487,87.86855670103093
20260415,2,131.07250237868698,83.409324452902,96.61198858230257
20260415,3,124.86128772275455,77.03850631324438,93.1420256111758
20260415,W_Ref,195.5828402366864,194.55621301775147,190.4630177514793
20260415,B_Ref,44.44859467455621,48.73668639053255,57.67307692307692
20260415,4,121.1901547116737,78.61172058134083,86.69357712142522
20260415,5,125.34727548381342,76.41594577722286,88.61580308570409
20260415,6,181.6324139614352,159.32365145228215,155.76991294443087
20260418,W_Ref,196.948224852071,196.29474852071007,192.40384615384616
20260418,B_Ref,72.85613905325444,78.03365384615384,89.80658284023669
